Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space
Tom Koller,Biggin & Scott Stonnington,$435 Per Week,"14/8 Williams Road,",PRAHRAN VIC 3181,1 Bed,1 Bath,1 Parking,N/A
Mary Corso,Victoria Real Estate Agency Pty Ltd,$495 PER WEEK,"6/16 Austin Crescent,",PASCOE VALE VIC 3044,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Danielle Crumblehulme,Marshall White Stonnington,"$1,300.00","16 Ruabon Road,",TOORAK VIC 3142,3 Beds,2 Baths,2 Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$400 Per Week,"43/16A Chapel Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,N/A
Vivian Hughes,Woodards Bentleigh,$895 per week,"5 Corolla Avenue,",BENTLEIGH EAST VIC 3165,4 Beds,3 Baths,2 Parking,N/A
Danielle Crumblehulme,Marshall White Stonnington,$800.00,"18 St John Street,",WINDSOR VIC 3181,2 Beds,1 Bath,− Parking,N/A
Stephanie Allen,Dingle Partners,$570 pw,"538 Victoria Parade,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,− Parking,N/A
Alana Davis,Woodards Carnegie,$550 per week,"5 Derham Drive,",POINT COOK VIC 3030,4 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Hua,Ray White Oakleigh,$650.00 per week,"106/2 Morton Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,N/A
Jayde Cashion,Jellis Craig Fitzroy,$495.00,"604/312 Swan Street,",RICHMOND VIC 3121,1 Bed,1 Bath,1 Parking,N/A
Simone Buckley,Buxton Real Estate Sandringham,$680.00,"32 Raynes Park Road,",HAMPTON VIC 3188,3 Beds,1 Bath,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ysabella Dimitrakopoulos,BigginScott Richmond,$720 weekly,"113 Burnley St,",RICHMOND VIC 3121,2 Beds,1 Bath,2 Parking,N/A
Angus Brayshaw,Richardson & Wrench Projects Victoria,$490 per week,"207/3 Olive York Way,",BRUNSWICK WEST VIC 3055,1 Bed,1 Bath,1 Parking,N/A
Leasing Team,Besser & Co. Estate Agents,$820 Per Week,"203/462 Dandenong Road,",CAULFIELD NORTH VIC 3161,3 Beds,2 Baths,2 Parking,N/A
Ysabella Dimitrakopoulos,BigginScott Richmond,$500 weekly,"207/28 Burnley St,",RICHMOND VIC 3121,1 Bed,1 Bath,1 Parking,N/A
Stephanie Allen,Dingle Partners,$760 pw,"167 Simpson Street,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,1 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$880,"2 Solomon Street,",MOUNT WAVERLEY VIC 3149,5 Beds,3 Baths,4 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$570,"2/67 Carinish Road,",CLAYTON VIC 3168,2 Beds,1 Bath,1 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$550,"2/14 Majdal Street,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,1 Parking,N/A
Liam Mulligan,BigginScott Richmond,$365 weekly,"3/19 Bendigo St,",COLLINGWOOD VIC 3066,1 Bed,1 Bath,1 Parking,N/A
Christian Neofotistos,Ray White Brunswick,$650,"601/288 Albert Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,N/A
Shermta Flomo,Woodards South Yarra,$370 pw,"1/145 Canterbury Road,",TOORAK VIC 3142,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerttu  Luik,Buxton St Kilda,$435.00,"191 Daley Street,",GLENROY VIC 3046,2 Beds,1 Bath,2 Parking,N/A
Jack Alexander,Marshall White Port Phillip,$560.00,"809/1 Roy Street,",MELBOURNE VIC 3004,2 Beds,1 Bath,1 Parking,N/A
Jack Alexander,Marshall White Port Phillip,$520.00,"211/144 Clarendon Street,",SOUTH MELBOURNE VIC 3205,1 Bed,1 Bath,1 Parking,N/A
Alicia Cannizzaro,Jellis Craig Northcote,$800.00,"89 Delbridge Street,",FITZROY NORTH VIC 3068,3 Beds,1 Bath,− Parking,N/A
N/A,N/A,$500 pw,"18/4 Wests Road,",MARIBYRNONG VIC 3032,2 Beds,1 Bath,1 Parking,N/A
Dragan Mrkela,Biggin Scott Elsternwick,$545 per week,"503/17 Gordon Street,",ELSTERNWICK VIC 3185,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paul Gervasi,NICOLE GERVASI PROPERTY GROUP,$495 per week,"5/5 Mitchell Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,N/A
Georgie Sinclair,Real Property Agent Melbourne,LEASED,"103 Ingles Street,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,− Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$670 Per Week,"3/76 Mathoura Road,",TOORAK VIC 3142,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leasing Team,Besser & Co. Estate Agents,$990 Per Week,"7/20 Lysterville Avenue,",MALVERN VIC 3144,3 Beds,3 Baths,1 Parking,N/A
Natalie Subotsch,Gotham Property,$450,"6B/131 Lonsdale Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,N/A
Adele Curcio,Thomson,$520 per week,"281 Balaclava Road,",CAULFIELD NORTH VIC 3161,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,$895 pw,"54 Roseberry Street,",ASCOT VALE VIC 3032,4 Beds,1 Bath,2 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$495,"6/113 Punt Road,",WINDSOR VIC 3181,1 Bed,1 Bath,2 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$995,"102B Mackie Road,",BENTLEIGH EAST VIC 3165,3 Beds,2 Baths,2 Parking,N/A
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$890.00 per week,"74 Raglan Street,",SOUTH MELBOURNE VIC 3205,3 Beds,2 Baths,− Parking,N/A
Leasing Team,Besser & Co. Estate Agents,$640 per week,"5/38 Northcote Road,",ARMADALE VIC 3143,2 Beds,1 Bath,1 Parking,N/A
Xavier George,Thomson,$375 per week,"3/42 Porter Street,",PRAHRAN VIC 3181,1 Bed,1 Bath,− Parking,N/A
Paul Gervasi,NICOLE GERVASI PROPERTY GROUP,$475 per week,"6/490-492 Moreland Road,",BRUNSWICK WEST VIC 3055,2 Beds,2 Baths,1 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$895,"1/1 Thompson Street,",CLAYTON VIC 3168,4 Beds,3 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgie Sinclair,Real Property Agent Melbourne,LEASED,"66 Raglan St,",SOUTH MELBOURNE VIC 3205,2 Beds,1 Bath,− Parking,N/A
Shermta Flomo,Woodards South Yarra,$300 pw,"13/37 Hope Street,",SOUTH YARRA VIC 3141,− 0 Beds,1 Bath,− Parking,N/A
DIANA JURISIC,Ray White CRE,$800 per week,"9/2 Wellington Crescent,",EAST MELBOURNE VIC 3002,2 Beds,2 Baths,2 Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$900 Per Week,"3F Cromwell Road,",SOUTH YARRA VIC 3141,3 Beds,2 Baths,1 Parking,N/A
JORDAN PALMA,Ray White CRE,$800 per week,"108/1 Powlett Street,",EAST MELBOURNE VIC 3002,2 Beds,2 Baths,1 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$750,"4/32 Bay Street,",BRIGHTON VIC 3186,2 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leasing Team,Besser & Co. Estate Agents,$500 per week,"14/4 Bik Lane,",FITZROY NORTH VIC 3068,1 Bed,1 Bath,1 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$560,"2/41 Alice Street,",CLAYTON VIC 3168,3 Beds,2 Baths,1 Parking,N/A
Hansel  Tjahyadi,Home apartments,$920,"5106/260 City Road,",SOUTHBANK VIC 3006,2 Beds,2 Baths,− Parking,66m²
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barbara Thomas,Thomas Moreland Real Estate,"$1,175","109/38 Cunningham Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,1 Parking,N/A
Barbara Thomas,Thomas Moreland Real Estate,$570,"D101/14 Little Miller Street,",BRUNSWICK EAST VIC 3057,1 Bed,1 Bath,− Parking,N/A
Kerry Patounas,Buxton Real Estate Dingley Village,$675.00,"25 Acacia Avenue,",MENTONE VIC 3194,2 Beds,1 Bath,1 Parking,N/A
Ysabella Dimitrakopoulos,BigginScott Richmond,$525 weekly,"412/20 Burnley St,",RICHMOND VIC 3121,1 Bed,1 Bath,1 Parking,N/A
Daniel Henderson,Haven Agents,$795 per week,"5/614 Inkerman Road,",CAULFIELD NORTH VIC 3161,2 Beds,2 Baths,2 Parking,N/A
Angie Vakrinos,Home AU Real Estate,$850 pw,"34 Iffla Street,",SOUTH MELBOURNE VIC 3205,2 Beds,2 Baths,− Parking,N/A
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$655.00 per week,"B505/55 Bay Street,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,2 Parking,N/A
Ross Crouch,Marshall White Boroondara,$850.00,"13 Waratah Avenue,",BURWOOD VIC 3125,3 Beds,1 Bath,2 Parking,N/A
Melanie Jones,Jellis Craig Inner West,$775.00,"6 Levien Lane,",FOOTSCRAY VIC 3011,3 Beds,2 Baths,2 Parking,N/A
Alvin Vitor,Buxton Real Estate Sandringham,"$1,250.00","5 Gordon Crescent,",BLACK ROCK VIC 3193,3 Beds,2 Baths,2 Parking,N/A
Mary Corso,Victoria Real Estate Agency Pty Ltd,$495 PER WEEK,"3 Pittsburgh Road,",KALKALLO VIC 3064,4 Beds,3 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melanie Podrebarac,McGrath Northcote,$650 per week,"117/10 Mills Boulevard,",ALPHINGTON VIC 3078,2 Beds,2 Baths,1 Parking,N/A
Lauren Harris,The Agency Victoria,$600 per week,"605/101 Parkview Road,",ALPHINGTON VIC 3078,2 Beds,2 Baths,1 Parking,N/A
Lachlan Hardiman,Gary Peer,$350 weekly,"5/14 Royal Avenue,",GLEN HUNTLY VIC 3163,1 Bed,1 Bath,1 Parking,N/A
Renee Hewstone,Marshall White Stonnington,$650.00,"2/7 Wattletree Road,",ARMADALE VIC 3143,2 Beds,1 Bath,1 Parking,N/A
Renee Whitehouse,Harris Property - Melbourne,$495 weekly,"416/2 Bailey Cres,",OAK PARK VIC 3046,2 Beds,1 Bath,1 Parking,N/A
Monique Wood,Buxton Oakleigh,$630.00,"13 McBean Street,",CLAYTON VIC 3168,3 Beds,1 Bath,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Molly Rogerson,Hodges Real Estate Sandringham,"$1,200.00","15B Nepean Avenue,",HAMPTON EAST VIC 3188,4 Beds,3 Baths,2 Parking,N/A
Sara Sis,Dingle Partners,$400 pw,"1/8 Pasley Street,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,− Parking,N/A
Monique Wood,Buxton Camberwell,$720.00,"69 Kennedy Street,",BENTLEIGH EAST VIC 3165,3 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mary Corso,Victoria Real Estate Agency Pty Ltd,$610 PER WEEK,"1204/16 Pentridge Boulevard,",COBURG VIC 3058,2 Beds,2 Baths,1 Parking,N/A
Neil Harris,Marshall White Port Phillip,$780.00,"65 O'Grady Street,",ALBERT PARK VIC 3206,2 Beds,1 Bath,− Parking,N/A
Jemma Wilksch,Chisholm & Gamon Elwood,$650 weekly,"19 Raglan Street,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,− Parking,N/A
Clementina Tralongo,Dingle Partners,$460 pw,"16 Wattle Street,",THOMASTOWN VIC 3074,3 Beds,1 Bath,1 Parking,N/A
Chris Bai,Motion Property,$650 per week,"11 Toolern Drive,",MERNDA VIC 3754,4 Beds,2 Baths,2 Parking,N/A
Shelter Real Estate,Shelter Real Estate,"$1,850 pw","2/27 Darling Street,",SOUTH YARRA VIC 3141,3 Beds,2 Baths,2 Parking,N/A
Natalie Subotsch,Gotham Property,$725,"1408/565 Flinders Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,1 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$490,"205/1344 Dandenong Road,",HUGHESDALE VIC 3166,1 Bed,1 Bath,1 Parking,N/A
Nina Mehegan,Home AU Real Estate,$590.00 pw,"7/4 The Avenue,",PRAHRAN VIC 3181,1 Bed,1 Bath,1 Parking,N/A
Stephanie Allen,Dingle Partners,$500 pw,"B207/20 Burnley Street,",RICHMOND VIC 3121,1 Bed,1 Bath,1 Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$530 Per Week,"101/80 Stanley Street,",COLLINGWOOD VIC 3066,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amy Ferguson,Buxton Real Estate Sandringham,$650.00,"2a/284 New Street,",BRIGHTON VIC 3186,2 Beds,1 Bath,− Parking,N/A
Anna Potaris,Dingle Partners,$450 pw,"204/8 Howard Street,",RICHMOND VIC 3121,1 Bed,1 Bath,1 Parking,N/A
Ismaeel Hussain,Samma Real Estate,$520 per week,"210 51-59 Thistlethwaite Street,",SOUTH MELBOURNE VIC 3205,1 Bed,1 Bath,− Parking,N/A
Neil Harris,Marshall White Port Phillip,$820.00,"14/41 Marine Parade,",ST KILDA VIC 3182,2 Beds,2 Baths,2 Parking,N/A
Nathan Emmett,Kay & Burton Stonnington,$550 Per Week,"204/318-322 Little Bourke Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$400 Per Week,"1/42 Alfred Street,",PRAHRAN VIC 3181,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lauren Jackson,Belle Property Glen Iris,$680 per week,"23 Clynden Avenue,",MALVERN EAST VIC 3145,2 Beds,1 Bath,− Parking,N/A
Alicia Cannizzaro,Jellis Craig Northcote,$700.00,"57 Bent Street,",NORTHCOTE VIC 3070,2 Beds,1 Bath,− Parking,N/A
DIANA JURISIC,Ray White CRE,$525 per week,"603/18 Yarra Street,",SOUTH YARRA VIC 3141,2 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$1300.00 per week,"542 Williamstown Road,",PORT MELBOURNE VIC 3207,3 Beds,3 Baths,2 Parking,N/A
Paul Tunney,Woodards South Yarra,$425 pw,"10/26 Darling Street,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,1 Parking,N/A
Rental Department,Your Rental Agent,$700,"1B Queen Street,",COBURG VIC 3058,3 Beds,2 Baths,2 Parking,114m²
DIANA JURISIC,Ray White CRE,$550 per week,"602/166 Wellington Parade,",EAST MELBOURNE VIC 3002,1 Bed,1 Bath,1 Parking,N/A
Vivian Hughes,Woodards Bentleigh,$860 per week,"1 Preston Street,",MCKINNON VIC 3204,3 Beds,2 Baths,1 Parking,N/A
Amy Ma,Fletchers Canterbury,$690 weekly,"57 Cratloe Road,",MOUNT WAVERLEY VIC 3149,3 Beds,2 Baths,2 Parking,N/A
Liz Haughey,Buyer's Advocate,$680,"127 Tarana Avenue,",GLENROY VIC 3046,4 Beds,1 Bath,1 Parking,N/A
Lynn Xu,Buxton Oakleigh,$490.00,"2/78 Springvale Road,",SPRINGVALE VIC 3171,2 Beds,1 Bath,1 Parking,N/A
Ismaeel Hussain,Samma Real Estate,$510 per week,"1009/33 Batman Street,",WEST MELBOURNE VIC 3003,2 Beds,1 Bath,− Parking,N/A
Edward Guo,Fletchers Canterbury,$450 weekly,"217a/1 Acacia Place,",ABBOTSFORD VIC 3067,1 Bed,1 Bath,− Parking,N/A
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$530.00 per week,"A309/57 Bay Street,",PORT MELBOURNE VIC 3207,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ysabella Dimitrakopoulos,BigginScott Richmond,$500 weekly,"5/58 Type Street,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,N/A
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$680.00 per week,"107 Lyons Street,",PORT MELBOURNE VIC 3207,1 Bed,1 Bath,1 Parking,N/A
Leasing Team,Besser & Co. Estate Agents,$475 per week,"305/1C Michael Street,",BRUNSWICK VIC 3056,1 Bed,1 Bath,1 Parking,N/A
Oscar Sturm,Jellis Craig & Company Pty Ltd,"$1,200.00","137 Spensley Street,",CLIFTON HILL VIC 3068,4 Beds,2 Baths,1 Parking,N/A
Stephanie Pascoe,Hodges Real Estate Sandringham,$750.00,"54 Second Street,",BLACK ROCK VIC 3193,4 Beds,2 Baths,2 Parking,N/A
Meggan Eade,Abercrombys,$900.00,"4/1 Domain Street,",SOUTH YARRA VIC 3141,3 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leasing Team,Besser & Co. Estate Agents,$700 per week,"8/8-10 South Avenue,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$520,"227/60 Belgrave Road,",MALVERN EAST VIC 3145,1 Bed,1 Bath,1 Parking,N/A
Carnegie Leasing,Woodards Carnegie,$800 per week,"28B Carlton Street,",MCKINNON VIC 3204,3 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jonathan Boon,Kay & Burton Stonnington,$550 Per Week,"8/1260 Glen Huntly Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,"$1,050","16A Keswick Street,",BENTLEIGH EAST VIC 3165,4 Beds,4 Baths,2 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$460,"3/21 Tibrockney Street,",HIGHETT VIC 3190,2 Beds,1 Bath,1 Parking,N/A
Anna Nguyen,Life Property Management,$950,"805/11 Wellington Street,",COLLINGWOOD VIC 3066,2 Beds,2 Baths,1 Parking,N/A
Seyanna Roberts,Wilson Glen Eira PTY LTD,$410 per week,"33/5-9 Fulton Street,",ST KILDA EAST VIC 3183,1 Bed,1 Bath,− Parking,N/A
Angie Vakrinos,Home AU Real Estate,$795 pw,"44 Princes Street,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,1 Parking,N/A
Angie Vakrinos,Home AU Real Estate,$820 pw,"4/42 Princes Street,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,1 Parking,N/A
Leasing Team,Besser & Co. Estate Agents,$400 per week,"2/186 Barkly Street,",ST KILDA VIC 3182,1 Bed,1 Bath,− Parking,N/A
Kim Te,Motion Property,$610 per week,"601/8 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
Danielle Boyd,Life Property Management,$890,"9 Robinson Street,",PRAHRAN VIC 3181,3 Beds,1 Bath,− Parking,N/A
Hannah Zadeh,McGrath St Kilda,$625 pw,"513/15 Bond Street,",CAULFIELD VIC 3162,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amy Ferguson,Buxton Real Estate Sandringham,$620.00,"1/7 Joan Street,",MOORABBIN VIC 3189,3 Beds,1 Bath,2 Parking,N/A
Shelter Real Estate,Shelter Real Estate,$1100,"1/32-36 Newry Street,",RICHMOND VIC 3121,3 Beds,2 Baths,1 Parking,N/A
Artem Chereshkov,McGrath St Kilda,$570 pw,"27/352 Canterbury Road,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,N/A
Artem Chereshkov,McGrath St Kilda,$785 pw,"1/6 Linton Street,",BALACLAVA VIC 3183,2 Beds,1 Bath,1 Parking,N/A
Kelly Amor,Buxton Real Estate Dingley Village,$695.00,"23 Waterdale Place,",ASPENDALE GARDENS VIC 3195,3 Beds,2 Baths,1 Parking,N/A
Tara Stewart,Buxton Real Estate Brighton,$500.00,"361a Glen Huntly Road,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Litinetsky,Gary Peer,$520 weekly,"12/26 Lillimur Road,",ORMOND VIC 3204,2 Beds,1 Bath,1 Parking,N/A
Manuel Flores,Gotham Property,$420,"104/408 Lonsdale Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,N/A
Kellie Finlayson,Gary Peer,$375 weekly,"6/18 Bute St,",MURRUMBEENA VIC 3163,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thoraya Jeena,Jeena & Saacs Real Estate Pty Ltd,$360,"904/160 Little Lonsdale Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,N/A
Thoraya Jeena,Jeena & Saacs Real Estate Pty Ltd,$675,"204/610 St Kilda Rd,",MELBOURNE VIC 3004,2 Beds,1 Bath,2 Parking,N/A
David Hua,Ray White Oakleigh,$550,"23 Brushbox Court,",CLAYTON VIC 3168,3 Beds,1 Bath,1 Parking,N/A
Alicia Cannizzaro,Jellis Craig Northcote,$750.00,"26 McFadzean Avenue,",RESERVOIR VIC 3073,3 Beds,1 Bath,2 Parking,N/A
Jayde Cashion,Jellis Craig Fitzroy,$620.00,"1C Dwyer Street,",CLIFTON HILL VIC 3068,2 Beds,1 Bath,1 Parking,N/A
Natalie Subotsch,Gotham Property,$475,"37/400 Little Collins Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,N/A
Carolyn Stephens,Hodges Real Estate Brighton,$390.00,"15/77 Hotham Street,",ST KILDA EAST VIC 3183,1 Bed,1 Bath,− Parking,N/A
Jay Jacob-Green,Buxton St Kilda,$620.00,"8/39 Esplanade East,",PORT MELBOURNE VIC 3207,1 Bed,1 Bath,1 Parking,N/A
Chris Bai,Motion Property,$460 per week,"211/58 Myrtle Street,",IVANHOE VIC 3079,1 Bed,1 Bath,1 Parking,N/A
Ricci Sauler,Buxton Stonnington,"$1,200.00","14 White Street,",WINDSOR VIC 3181,3 Beds,2 Baths,2 Parking,N/A
Jasmine Palioportas,Buxton Oakleigh,$895.00,"23 Beckett Street,",CHADSTONE VIC 3148,4 Beds,3 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lorena Lore,GBE Property Investments,$760,"909/50 Albert Road,",SOUTH MELBOURNE VIC 3205,2 Beds,2 Baths,1 Parking,N/A
Chris Bai,Motion Property,$750 per week,"105/627 Victoria Street,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,N/A
Kim Te,Motion Property,$450 per week,"16 Kobe Street,",DEANSIDE VIC 3336,2 Beds,2 Baths,1 Parking,N/A
Mary Corso,Victoria Real Estate Agency Pty Ltd,$680 PER WEEK,"3/563 Albion Street,",BRUNSWICK WEST VIC 3055,2 Beds,2 Baths,1 Parking,N/A
Kavinda Kudage Don,Linage,$440 per week ($1912 pcm),"211D/460 Victoria Street,",BRUNSWICK VIC 3056,1 Bed,1 Bath,1 Parking,N/A
Jayde Cashion,Jellis Craig Fitzroy,"$1,550.00","89-91 Turner Street,",ABBOTSFORD VIC 3067,4 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew D'Aprano,NICOLE GERVASI PROPERTY GROUP,$550 Per Week,"1119/40 Hall Street,",MOONEE PONDS VIC 3039,1 Bed,1 Bath,1 Parking,N/A
Ismaeel Hussain,Samma Real Estate,$630 per week,"1309/33 Batman Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$550 Per Week,"8/172 Wattletree Road,",MALVERN VIC 3144,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sara Sis,Dingle Partners,"1,100 pw","33 Bell Street,",FITZROY VIC 3065,3 Beds,1 Bath,− Parking,N/A
Melanie Jones,Jellis Craig Inner West,$620.00,"8/11-15 Basil Street,",NEWPORT VIC 3015,2 Beds,2 Baths,2 Parking,N/A
Jayde Cashion,Jellis Craig Fitzroy,$680.00,"118/275 Abbotsford Street,",NORTH MELBOURNE VIC 3051,2 Beds,1 Bath,1 Parking,N/A
Alvin Miao,Castran,$800 per week,"1104/112 Adderley Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,N/A
Shakira Jaisingh-Fluitsma,Chisholm & Gamon Elwood,$675 weekly,"5/84 Ormond Road,",ELWOOD VIC 3184,2 Beds,2 Baths,− Parking,N/A
Shakira Jaisingh-Fluitsma,Chisholm & Gamon Elwood,$495 weekly,"7/46 Ormond Esplanade,",ELWOOD VIC 3184,1 Bed,1 Bath,1 Parking,N/A
Jasmine Palioportas,Buxton Camberwell,$600.00,"34 Middleborough Road,",BURWOOD EAST VIC 3151,3 Beds,1 Bath,3 Parking,N/A
Artem Chereshkov,McGrath St Kilda,$850 pw,"1 Shirley Grove,",ST KILDA EAST VIC 3183,3 Beds,1 Bath,3 Parking,N/A
Leasing Concierge,Gary Peer,$550 weekly,"1/145a Brighton Rd,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,N/A
Melanie Jones,Jellis Craig Inner West,$575.00,"366 Buckley Street,",ESSENDON VIC 3040,3 Beds,1 Bath,2 Parking,N/A
Certainty  Property Vic,Certainty Property,$275,"16 Astral Walk,",WOLLERT VIC 3750,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Megan Taylor,Kay & Burton Bayside,$1450 Per Week,"65 Durrant Street,",BRIGHTON VIC 3186,3 Beds,2 Baths,1 Parking,N/A
Hannah Zadeh,McGrath St Kilda,$565 pw,"3201/318 Queen Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,N/A
Angus Brayshaw,Richardson & Wrench Projects Victoria,$600 per week,"413A/119-131 Bell Street,",IVANHOE VIC 3079,2 Beds,1 Bath,1 Parking,N/A
Simone Buckley,Buxton Real Estate Sandringham,"$1,295.00","20 Ebden Avenue,",BLACK ROCK VIC 3193,4 Beds,2 Baths,3 Parking,N/A
Jasmine Palioportas,Buxton Camberwell,"$1,500.00","66 Athelstan Road,",CAMBERWELL VIC 3124,5 Beds,2 Baths,1 Parking,N/A
Shakira Jaisingh-Fluitsma,Chisholm & Gamon Elwood,"$1,150 weekly","330 New Street,",BRIGHTON VIC 3186,3 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alicia Cannizzaro,Jellis Craig Northcote,$550.00,"302/66 St Georges Road,",NORTHCOTE VIC 3070,2 Beds,1 Bath,1 Parking,N/A
Sara Sis,Dingle Partners,$460 pw,"1303/7 Yarra Street,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,1 Parking,N/A
