Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region
Ysabella Dimitrakopoulos,BigginScott Richmond,$550 weekly,"214/30 Burnley Street,",RICHMOND VIC 3121,2 Beds,2 Baths,1 Parking,,melbourne-vic
Samridhi Munjal,Dingle Partners,$535 pw,"2503/250 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Shermta Flomo,Woodards South Yarra,$390 pw,"8/33 Orange Grove,",BALACLAVA VIC 3183,1 Bed,1 Bath,− Parking,,melbourne-vic
Kim Te,Motion Property,$500 per week,"602/4 Joseph Road,",FOOTSCRAY VIC 3011,1 Bed,1 Bath,1 Parking,,melbourne-vic
Chris Bai,Motion Property,$550 Per Week,"Level 1, 4/12 Powlett Street,",HEIDELBERG VIC 3084,2 Beds,2 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Katie Davidson,Buxton Real Estate Dingley Village,$450.00,"LG1/195 Station Street,",EDITHVALE VIC 3196,2 Beds,1 Bath,1 Parking,,melbourne-vic
Katie Love,Hodges Real Estate Sandringham,$520.00,"5/3 Fewster Rd,",HAMPTON VIC 3188,2 Beds,1 Bath,1 Parking,,melbourne-vic
Abir Ayadi,Dingle Partners,$580 pw,"410/21 Plenty Road,",BUNDOORA VIC 3083,2 Beds,2 Baths,1 Parking,,melbourne-vic
Abir Ayadi,Dingle Partners,$400 pw,"302/18 Gilbert Road,",PRESTON VIC 3072,1 Bed,1 Bath,1 Parking,,melbourne-vic
Chloe Conway,Performance Asset Management Melbourne,$430 per week,"331 Richards St,",BALLARAT EAST VIC 3350,3 Beds,1 Bath,4 Parking,,melbourne-vic
Tara Stewart,Buxton Real Estate Brighton,"$1,390.00","3B Ridge Avenue,",HAMPTON EAST VIC 3188,4 Beds,3 Baths,2 Parking,,melbourne-vic
Harry Whitford,BigginScott Richmond,$475 weekly,"2/199 Punt Road,",RICHMOND VIC 3121,1 Bed,1 Bath,1 Parking,,melbourne-vic
Kerry Patounas,Buxton Keysborough,$570.00,"12 Manooka Court,",KEYSBOROUGH VIC 3173,3 Beds,2 Baths,1 Parking,,melbourne-vic
Jay Jacob-Green,Buxton St Kilda,$595.00,"404/26 Queens Road,",MELBOURNE VIC 3004,2 Beds,1 Bath,1 Parking,,melbourne-vic
Carolina  Hernandez,Gotham Property,$675,"1601/27 Little Collins Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic
Tara Stewart,Buxton Real Estate Brighton,"$1,050.00","40B Earlsfield Road,",HAMPTON VIC 3188,3 Beds,3 Baths,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Amy Fiske,Performance Asset Management Melbourne,$550 per week,"87 Nelson Ave,",ALTONA MEADOWS VIC 3028,3 Beds,2 Baths,1 Parking,,melbourne-vic
Kayla Crea,HEDLEY REAL ESTATE,$480 weekly,"1/16 Vernon St,",SOUTH KINGSVILLE VIC 3015,2 Beds,1 Bath,1 Parking,,melbourne-vic
Tara Stewart,Buxton Real Estate Brighton,$595.00,"8/15-17 Cochrane Street,",BRIGHTON VIC 3186,2 Beds,1 Bath,1 Parking,,melbourne-vic
Jayde Cashion,Jellis Craig Fitzroy,$850.00,"39 Little Dryburgh South Street,",NORTH MELBOURNE VIC 3051,2 Beds,2 Baths,1 Parking,,melbourne-vic
Cameron  Gibson,Buxton Stonnington,$500.00,"107/405 St Kilda Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,1 Parking,,melbourne-vic
Adriana McDonald,Hodges Real Estate Sandringham,$650.00,"304A North Rd,",BRIGHTON EAST VIC 3187,2 Beds,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Kavinda Kudage Don,Linage,$520 per week ($2260 pcm),"20 Grevillea Drive,",MOUNT DUNEED VIC 3217,4 Beds,2 Baths,2 Parking,,melbourne-vic
Amber Brombara,HEDLEY REAL ESTATE,$560 weekly,"2/30 Ovando Street,",PRESTON VIC 3072,2 Beds,1 Bath,1 Parking,,melbourne-vic
Jasmine Palioportas,Buxton Oakleigh,$635.00,"2/14 Carmichael Road,",OAKLEIGH EAST VIC 3166,3 Beds,2 Baths,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Jay Jacob-Green,Buxton St Kilda,$895.00,"5/43 Acland Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,,melbourne-vic
Karen Pearce,Thomson,$450 per week,"413/839 Dandenong Road,",MALVERN EAST VIC 3145,1 Bed,1 Bath,1 Parking,,melbourne-vic
Mina Boa,Dingle Partners,$550 pw,"1906/43 Hancock Street,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,,melbourne-vic
Shermta Flomo,Woodards South Yarra,$425 pw,"7/178 Toorak Road West,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,1 Parking,,melbourne-vic
Angus Brayshaw,Richardson & Wrench Projects Victoria,$560 per week,"309/338 Gore Street,",FITZROY VIC 3065,1 Bed,1 Bath,1 Parking,,melbourne-vic
Anna Potaris,Dingle Partners,$480 pw,"316/6 Acacia Place,",ABBOTSFORD VIC 3067,1 Bed,1 Bath,1 Parking,,melbourne-vic
Kim Te,Motion Property,$480 per week,"106C/1 O'Shannassy Street,",ESSENDON NORTH VIC 3041,1 Bed,1 Bath,1 Parking,,melbourne-vic
Kim Te,Motion Property,$775 per week,"1311/18 Claremont Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,− Parking,,melbourne-vic
Amber Brombara,HEDLEY REAL ESTATE,$400 weekly,"8/12 Brennand Street,",FITZROY NORTH VIC 3068,1 Bed,1 Bath,1 Parking,,melbourne-vic
Mary Corso,Victoria Real Estate Agency Pty Ltd,$495 per week,"31 Glisten Way,",CRAIGIEBURN VIC 3064,3 Beds,2 Baths,2 Parking,,melbourne-vic
Hannah Zadeh,McGrath St Kilda,$500 pw,"4/16 Toward Street,",MURRUMBEENA VIC 3163,2 Beds,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Carnegie Leasing,Woodards Carnegie,$450 per week,"12/25 Royal Avenue,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,,melbourne-vic
Abir Ayadi,Dingle Partners,$670 pw,"603/35 Wilson Street,",SOUTH YARRA VIC 3141,2 Beds,1 Bath,1 Parking,,melbourne-vic
Kellie Finlayson,Gary Peer,$500 weekly,"2/1013 Glen Huntly Road,",CAULFIELD VIC 3162,2 Beds,1 Bath,1 Parking,,melbourne-vic
JORDAN PALMA,Ray White CRE,$750 per week,"3/8 Charles Street,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,1 Parking,,melbourne-vic
Cameron  Gibson,Buxton Stonnington,"$1,300.00","3/440 New Street,",BRIGHTON VIC 3186,3 Beds,2 Baths,2 Parking,,melbourne-vic
Xavier George,Thomson,$695 per week,"701/610 St Kilda Road,",MELBOURNE VIC 3004,2 Beds,2 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Kim Te,Motion Property,$500 per week,"79 Welcome Parade,",WYNDHAM VALE VIC 3024,4 Beds,2 Baths,2 Parking,,melbourne-vic
Angus Brayshaw,Richardson & Wrench Projects Victoria,$520 Per week,"602/5 Olive York Way,",BRUNSWICK WEST VIC 3055,1 Bed,1 Bath,2 Parking,,melbourne-vic
Jasmine Palioportas,Buxton Camberwell,$875.00,"2/13 Edwards Street,",BURWOOD VIC 3125,3 Beds,3 Baths,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Hudson Keppell,Kay & Burton Stonnington,$1395 Per Week,"401/250 St Kilda Road,",SOUTHBANK VIC 3006,3 Beds,2 Baths,2 Parking,,melbourne-vic
Paul West,Hodges Real Estate Brighton,"$1,175.00","64 Landcox Street,",BRIGHTON EAST VIC 3187,4 Beds,3 Baths,2 Parking,,melbourne-vic
Matthew Swinnerton,Ray White Oakleigh,$680,"1/7 Holland Court,",OAKLEIGH VIC 3166,2 Beds,2 Baths,1 Parking,,melbourne-vic
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$950.00 per week,"175 Richardson Street,",MIDDLE PARK VIC 3206,3 Beds,1 Bath,− Parking,,melbourne-vic
Alicia Cannizzaro,Jellis Craig Northcote,$700.00,"2/239A Victoria Road,",NORTHCOTE VIC 3070,2 Beds,2 Baths,1 Parking,,melbourne-vic
Leasing Team,Besser & Co. Estate Agents,$450 per week,"2/789 Malvern Road,",TOORAK VIC 3142,1 Bed,1 Bath,1 Parking,,melbourne-vic
GRE Rentals,Grantham Real Estate,$550,"772 Edgars Road,",EPPING VIC 3076,3 Beds,2 Baths,2 Parking,,melbourne-vic
Ismaeel Hussain,Samma Real Estate,$550 per week,"3012/220 Spencer Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic
Amanda Isaacs,Maison Aust.,"$1,900 per week","3/19-21 Ormond Esplanade,",ELWOOD VIC 3184,3 Beds,2 Baths,2 Parking,,melbourne-vic
LLC Rental PM 1,LLC Real Estate,$550 per week,"5 Elwood Street,",NOTTING HILL VIC 3168,2 Beds,1 Bath,2 Parking,918m²,melbourne-vic
Ismaeel Hussain,Samma Real Estate,$525 per week,"102/463 Brunswick Street,",FITZROY NORTH VIC 3068,1 Bed,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Jay Girn,Dingle Partners,$670 pw,"156/468 La Trobe Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,,melbourne-vic
Abir Ayadi,Dingle Partners,$650 pw,"205/312 Swan Street,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,,melbourne-vic
Hannah Zadeh,McGrath St Kilda,$630 pw,"G06/12-14 Dickens Street,",ELWOOD VIC 3184,1 Bed,1 Bath,1 Parking,,melbourne-vic
Debbie Davut,Kay & Burton Stonnington,$700 Per Week,"411/499 St Kilda Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,1 Parking,,melbourne-vic
Angus Brayshaw,Richardson & Wrench Projects Victoria,$520 per week,"206/51 Birmingham Street,",SPOTSWOOD VIC 3015,1 Bed,1 Bath,1 Parking,,melbourne-vic
Zarah Baker,Buxton Real Estate Brighton,"$1,200.00","37b Victor Road,",BENTLEIGH EAST VIC 3165,4 Beds,3 Baths,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Kristian Williams,Fletchers Canterbury,$900 weekly,"14A Prospect Street,",GLENROY VIC 3046,5 Beds,2 Baths,2 Parking,,melbourne-vic
Ross Crouch,Marshall White Boroondara,$695.00,"2/15 Renown Street,",BURWOOD VIC 3125,3 Beds,2 Baths,2 Parking,,melbourne-vic
Kavinda Kudage Don,Linage,$480 per week ($2086 pcm),"13 Palladian Dr,",CHARLEMONT VIC 3217,3 Beds,2 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Kirk Stafford,Wilson Glen Eira PTY LTD,$550 per week,"42/321 Chapel Street,",PRAHRAN VIC 3181,2 Beds,1 Bath,− Parking,,melbourne-vic
Ashleigh Coutts,Marshall White Bayside,$870.00,"7/44-46 Durrant Street,",BRIGHTON VIC 3186,2 Beds,2 Baths,2 Parking,,melbourne-vic
Paola Faba,Dingle Partners,$470 pw,"207/201-207 Albert Street,",BRUNSWICK VIC 3056,1 Bed,1 Bath,1 Parking,,melbourne-vic
Ashleigh Coutts,Marshall White Bayside,"$1,850.00","26 Berwick Street,",BRIGHTON VIC 3186,4 Beds,2 Baths,2 Parking,,melbourne-vic
Jay Jacob-Green,Buxton St Kilda,$595.00,"5/109 Ross Street,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,1 Parking,,melbourne-vic
Leasing Team,Besser & Co. Estate Agents,$550 per week,"4/2 Southey Street,",ELWOOD VIC 3184,2 Beds,1 Bath,− Parking,,melbourne-vic
Ismaeel Hussain,Samma Real Estate,$550 per week,"816S/220 Spencer Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic
Ismaeel Hussain,Samma Real Estate,$450 per week,"1507s/220 Spencer Street,",MELBOURNE VIC 3000,− 0 Beds,1 Bath,− Parking,,melbourne-vic
Angus Brayshaw,Richardson & Wrench Projects Victoria,$850 per week,"27 Birmingham Street,",SPOTSWOOD VIC 3015,3 Beds,3 Baths,2 Parking,,melbourne-vic
Leasing Team,Besser & Co. Estate Agents,$590 per week,"107/336 South Road,",HAMPTON EAST VIC 3188,2 Beds,2 Baths,1 Parking,,melbourne-vic
Zarah Baker,Buxton Real Estate Brighton,"$1,050.00","4 Trafalgar Street,",BRIGHTON VIC 3186,3 Beds,2 Baths,4 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Darren Krause,Harcourts Melbourne City,$850 per week,"1605/333 Exhibition Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,,melbourne-vic
Joe McCurry,Samma Real Estate,$60 per week,"CP155/200 Spencer Street,",MELBOURNE VIC 3000,− 0 Beds,1 Bath,1 Parking,,melbourne-vic
Evelyne Surja,Kay & Burton Stonnington,$795 Per Week,"101/5 Evergreen Mews,",ARMADALE VIC 3143,2 Beds,2 Baths,2 Parking,,melbourne-vic
Daniel Hamilton,McGrath,$450 pw,"1306/52 Park Street,",SOUTH MELBOURNE VIC 3205,1 Bed,1 Bath,− Parking,,melbourne-vic
Mary Corso,Victoria Real Estate Agency Pty Ltd,$495 PER WEEK,"27 Glisten Way,",CRAIGIEBURN VIC 3064,3 Beds,2 Baths,2 Parking,,melbourne-vic
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$750.00 per week,"101/14 Princes Street,",PORT MELBOURNE VIC 3207,2 Beds,2 Baths,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Mary Corso,Victoria Real Estate Agency Pty Ltd,$415 PER WEEK,"2/21 Louisville Drive,",THORNHILL PARK VIC 3335,3 Beds,2 Baths,2 Parking,,melbourne-vic
Darren McMullin,Kay & Burton Stonnington,$3600 Per Week,"72 Clowes Street,",SOUTH YARRA VIC 3141,5 Beds,3 Baths,4 Parking,,melbourne-vic
Mary Corso,Victoria Real Estate Agency Pty Ltd,$490 PER WEEK,"107A/72 Ascot Vale Road,",FLEMINGTON VIC 3031,1 Bed,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Mary Corso,Victoria Real Estate Agency Pty Ltd,$430 PER WEEK,"16 Marriott Boulevard,",WEIR VIEWS VIC 3338,4 Beds,2 Baths,2 Parking,,melbourne-vic
Penny Costa,Ray White Oakleigh,$620,"408/35-41 Dalgety Street,",OAKLEIGH VIC 3166,2 Beds,2 Baths,1 Parking,,melbourne-vic
Vanessa Hall,Kay & Burton Portsea,$1250 per week,"28 Lincoln Avenue,",SORRENTO VIC 3943,3 Beds,2 Baths,2 Parking,"1,057m²",melbourne-vic
Jayde Cashion,Jellis Craig Fitzroy,$600.00,"201/88 Trenerry Crescent,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,,melbourne-vic
Kim Te,Motion Property,$480 per week,"116B/150 Keilor Road,",ESSENDON NORTH VIC 3041,1 Bed,1 Bath,1 Parking,,melbourne-vic
Feroza Ahmed,Woodards Bentleigh,$750 per week,"70 Oakleigh Road,",CARNEGIE VIC 3163,3 Beds,1 Bath,2 Parking,,melbourne-vic
Alicia Cannizzaro,Jellis Craig Northcote,$695.00,"927 Park Street,",BRUNSWICK WEST VIC 3055,3 Beds,1 Bath,1 Parking,,melbourne-vic
Kerttu  Luik,Buxton St Kilda,$495.00,"4/59 Hotham Street,",ST KILDA EAST VIC 3183,1 Bed,1 Bath,1 Parking,,melbourne-vic
Jay Girn,Dingle Partners,$550 pw,"302/39 Queen Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,− Parking,,melbourne-vic
Mikaele Horsnell,Harcourts Melbourne City,$650 per week,"107/616 Little Collins Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,− Parking,,melbourne-vic
Kim Te,Motion Property,$500 per week,"119 Anniversary Avenue,",WYNDHAM VALE VIC 3024,4 Beds,2 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Leasing Concierge,Gary Peer,$450 weekly,"18/164 Wattletree Road,",MALVERN VIC 3144,1 Bed,1 Bath,1 Parking,,melbourne-vic
HouseSmart Property Management Department,HouseSmart Real Estate Pty Ltd,$550 per week,"4K/45 King George Street,",VICTORIA PARK WA 6100,2 Beds,1 Bath,1 Parking,,melbourne-vic
Chris Bai,Motion Property,$650 per week,"110/7-11 Maude Street,",CHELTENHAM VIC 3192,2 Beds,2 Baths,1 Parking,,melbourne-vic
Ismaeel Hussain,Samma Real Estate,$520 per week,"410/23 Batman Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,melbourne-vic
Tania Crawley,Gary Peer,$780 weekly,"99B Oakleigh Rd,",CARNEGIE VIC 3163,3 Beds,2 Baths,2 Parking,,melbourne-vic
Carolina  Hernandez,Gotham Property,$475,"225/2 Gillies Street,",ESSENDON NORTH VIC 3041,1 Bed,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Veronica Coco,Buxton Bentleigh Rentals,$550.00,"7/13 Hughenden Road,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,,melbourne-vic
Leasing Team,Buyer's Advocate,$680,"127 Tarana Av,",GLENROY VIC 3046,4 Beds,1 Bath,1 Parking,,melbourne-vic
Carnegie Leasing,Woodards Carnegie,$430 per week,"4/22 Royal Avenue,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Ismaeel Hussain,Samma Real Estate,$540 per week,"2806/551 Swanston Street,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,,melbourne-vic
Ismaeel Hussain,Samma Real Estate,$515 per week,"903/551 Swanston Street,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,,melbourne-vic
Jayde Cashion,Jellis Craig Fitzroy,$750.00,"12 Purcell Street,",NORTH MELBOURNE VIC 3051,3 Beds,2 Baths,− Parking,,melbourne-vic
Hudson Keppell,Kay & Burton Stonnington,$600 Per Week,"10/7 Barnsbury Road,",SOUTH YARRA VIC 3141,2 Beds,1 Bath,1 Parking,,melbourne-vic
Angela Skarlatos,Gary Peer,$395 weekly,"4/4 Walnut St,",CARNEGIE VIC 3163,1 Bed,1 Bath,1 Parking,,melbourne-vic
Danielle Boyd,Life Property Management,$590,"405/8 Bowen Crescent,",MELBOURNE VIC 3004,1 Bed,1 Bath,− Parking,,melbourne-vic
Carson Mair,Dingle Partners,$470 pw,"202/432 Geelong Road,",FOOTSCRAY VIC 3011,2 Beds,1 Bath,1 Parking,,melbourne-vic
Hudson Keppell,Kay & Burton Bayside,$825 Per Week,"6 Ivy Street,",HAMPTON VIC 3188,3 Beds,1 Bath,2 Parking,,melbourne-vic
Matthew Swinnerton,Ray White Oakleigh,$545,"1/23 Raymond Road,",SEAFORD VIC 3198,2 Beds,1 Bath,1 Parking,,melbourne-vic
Jay Jacob-Green,Buxton St Kilda,$750.00,"6 Rosamond Street,",BALACLAVA VIC 3183,2 Beds,1 Bath,− Parking,,melbourne-vic
Matthew Swinnerton,Ray White Oakleigh,"$1,295","6 Shanahan Crescent,",MCKINNON VIC 3204,5 Beds,2 Baths,5 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Larissa Cable,Life Property Management,$520,"304M/60 Stanley Street,",COLLINGWOOD VIC 3066,1 Bed,1 Bath,1 Parking,,melbourne-vic
Daniel Hamilton,McGrath,$425 pw,"3/7 Adam Street,",BURNLEY VIC 3121,1 Bed,1 Bath,1 Parking,,melbourne-vic
Vanessa Hall,Kay & Burton Portsea,$845.00,"716 Melbourne Road,",SORRENTO VIC 3943,3 Beds,3 Baths,− Parking,,melbourne-vic
Preet Sandhu,BigginScott Richmond,$660 weekly,"504/71 Abinger St,",RICHMOND VIC 3121,2 Beds,2 Baths,1 Parking,,melbourne-vic
Jayde Cashion,Jellis Craig Fitzroy,$675.00,"401/82 Ireland Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,− Parking,,melbourne-vic
Alicia Cannizzaro,Jellis Craig Fitzroy,$550.00,"209/392 St Georges Road,",FITZROY NORTH VIC 3068,1 Bed,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Chloe Conway,Performance Asset Management Melbourne,$470.00 per week,"16 Ellis Street,",FLORA HILL VIC 3550,3 Beds,1 Bath,2 Parking,,melbourne-vic
Daniel Henderson,Haven Agents,$730 per week,"905/16 Woorayl Street,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,,melbourne-vic
Justine Muscat,Dingle Partners,$430 pw,"2/223 Punt Road,",RICHMOND VIC 3121,1 Bed,1 Bath,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Gloria Ye,AZeta Real Estate,380/W Furnished,"2/1 O'Connell St,",NORTH MELBOURNE VIC 3051,1 Bed,1 Bath,− Parking,,melbourne-vic
Certainty  Property Vic,Certainty Property,$270,"11 McCulloch Drive,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,,melbourne-vic
Xavier George,Thomson,$430 per week,"10/60 Denbigh Road,",ARMADALE VIC 3143,1 Bed,1 Bath,− Parking,,melbourne-vic
Jodi Sherr,Haven Agents,$500 per week,"22/83 Westbury Street,",ST KILDA EAST VIC 3183,1 Bed,1 Bath,1 Parking,,melbourne-vic
Paul Tunney,Woodards South Yarra,$550 pw,"9/40 Upton Road,",WINDSOR VIC 3181,2 Beds,1 Bath,1 Parking,,melbourne-vic
Sahar Ebadi,Marshall White Manningham Pty Ltd,$750.00,"2/10 Central Avenue,",BURWOOD VIC 3125,3 Beds,2 Baths,2 Parking,,melbourne-vic
Kim Te,Motion Property,$550 per week,"G05/392 St Georges Road,",FITZROY NORTH VIC 3068,1 Bed,1 Bath,1 Parking,,melbourne-vic
Robyn Rech,Whiting & Co,$470 pw,"6/128 Glenhuntly Road,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,,melbourne-vic
Ashleigh Coutts,Marshall White Stonnington,"$1,995.00","G02/5 Dudley Street,",BRIGHTON VIC 3186,3 Beds,3 Baths,2 Parking,,melbourne-vic
Kirk Stafford,Wilson Glen Eira PTY LTD,$580 Per Week,"8/667 Glenhuntly Road,",CAULFIELD VIC 3162,2 Beds,1 Bath,1 Parking,,melbourne-vic
Abie Munz,McGrath St Kilda,$695 Fully Furnished pw,"104/350 St Kilda Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Daniel Hamilton,McGrath,$420 pw,"15/1-15 Beddison Road,",CRAIGIEBURN VIC 3064,2 Beds,1 Bath,1 Parking,,melbourne-vic
Karen Pearce,Thomson,$285 per week,"954 Dandenong Road,",CAULFIELD EAST VIC 3145,1 Bed,1 Bath,1 Parking,,melbourne-vic
